Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
AUT,Austria,24674,Capital investment in Travel and Tourism,US$ in bn (Real prices),3.58114,3.48013,3.56141,3.20726,3.65716,4.76325,4.81785,4.96343,3.18731,6.63024,5.71218,4.69365,4.57095,3.08344,3.70801,3.65978,3.3328,4.00172,3.99822,3.73667,3.29461,3.73938,3.9596,4.10214,4.19474,4.38853,4.54802,4.66798,4.80227,4.94826,5.08212,5.19787,5.31117,5.42506
AUT,Austria,24693,Travel and Tourism total contribution to GDP,Percentage share of total GDP,15.1617,14.7729,14.3828,14.1862,13.7185,15.1939,15.5462,15.739,15.223,16.3916,15.9121,15.0602,14.2888,14.1109,14.343,15.1374,14.7255,14.7952,14.5307,14.9845,14.7768,15.0382,14.8064,14.574,14.7403,14.9967,15.3017,15.5533,15.7549,15.9705,16.2063,16.3804,16.5349,16.683
AUT,Austria,24695,Travel and Tourism total contribution to GDP,US$ in bn (Real prices),42.568,42.4229,42.2432,43.1365,43.12,49.5756,51.3045,52.7167,51.4929,56.8348,56.4959,55.4775,54.574,54.4102,53.4,57.392,57.5194,58.1187,57.0871,59.4052,59.2132,61.1654,61.9577,62.3488,64.1208,66.1753,68.3707,70.3428,72.0677,73.8581,75.781,77.4497,79.0505,80.6428
AZE,Azerbaijan,24661,Government spending on travel and Tourism service,US$ in bn (Real prices),0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03
AZE,Azerbaijan,24663,Government spending on travel and Tourism service,% share of total tourism expenditure,4.2,3.6,4.5,4.2,4.2,3.5,3,3.009,3.01803,3.02708,3.03616,3.04527,3.05441,2.8226,2.86979,2.90828,2.94151,2.96416,2.97867,2.99704,2.97664,2.93675,2.94555,2.95788,2.97759,2.99627,3.01487,3.03335,3.0514,3.06902,3.08614,3.103,3.11996,3.13652
AZE,Azerbaijan,24674,Capital investment in Travel and Tourism,US$ in bn (Real prices),0.02,0.05,0.04,0.05,0.05,0.05,0.04,0.06,0.127584,0.210144,0.212149,0.213425,0.18187,0.148744,0.142946,0.118168,0.153084,0.169681,0.221974,0.269937,0.296681,0.266903,0.281778,0.295982,0.30627,0.315396,0.328286,0.340936,0.355952,0.371177,0.386331,0.403242,0.425311,0.448246
AZE,Azerbaijan,24693,Travel and Tourism total contribution to GDP,Percentage share of total GDP,7.74131,8.28342,8.38635,6.19913,6.38699,6.13834,5.31734,5.15852,5.39667,8.04479,7.1348,6.24618,5.58737,5.04175,6.29938,5.18071,5.95004,7.90875,8.2083,8.58583,10.2345,13.1693,14.5897,15.1447,15.4346,15.7717,16.0676,16.3797,16.843,17.2904,17.8193,18.406,18.9049,19.317
AZE,Azerbaijan,24695,Travel and Tourism total contribution to GDP,US$ in bn (Real prices),0.499274,0.541183,0.579686,0.47135,0.52157,0.556906,0.53018,0.562353,0.648117,1.05572,1.19338,1.40556,1.57672,1.57231,2.14431,1.84914,2.09493,2.84385,3.12292,3.35543,4.04332,5.07896,5.60102,5.93036,6.22096,6.55393,6.8972,7.27725,7.74502,8.22903,8.76793,9.36911,9.9934,10.6021
BDI,Burundi,24661,Government spending on travel and Tourism service,US$ in bn (Real prices),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDI,Burundi,24663,Government spending on travel and Tourism service,% share of total tourism expenditure,0.966391,0.966018,0.719082,0.684925,0.696828,0.689398,0.68601,0.685309,0.688995,0.696942,0.700577,0.704021,0.707824,0.71097,0.713947,0.716774,0.719719,0.722658,0.725631,0.728657,0.731719,0.734812,0.737926,0.74107,0.744235,0.747427,0.750633,0.753852,0.757085,0.760332,0.763593,0.766868,0.770157,0.77346
