T16,Exchange rates,,,,,,,
Region/Country/Area,,Year,Series,National currency,National currency footnote,Value,Footnotes,Source
20,Andorra,2016,Exchange rates: period average (national currency per US dollar),Euro (EUR),,0.9034,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
20,Andorra,2017,Exchange rates: period average (national currency per US dollar),Euro (EUR),,0.8852,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
20,Andorra,2018,Exchange rates: period average (national currency per US dollar),Euro (EUR),,0.8468,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
24,Angola,1985,Exchange rates: end of period (national currency per US dollar),Kwanza (AOA),,0.0000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
24,Angola,1995,Exchange rates: end of period (national currency per US dollar),Kwanza (AOA),,0.0057,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
24,Angola,2005,Exchange rates: end of period (national currency per US dollar),Kwanza (AOA),,80.7795,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
24,Angola,2010,Exchange rates: end of period (national currency per US dollar),Kwanza (AOA),,92.6430,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
24,Angola,2015,Exchange rates: end of period (national currency per US dollar),Kwanza (AOA),,135.3150,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
24,Angola,2016,Exchange rates: end of period (national currency per US dollar),Kwanza (AOA),,165.9026,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
24,Angola,2017,Exchange rates: end of period (national currency per US dollar),Kwanza (AOA),,165.9235,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
24,Angola,2018,Exchange rates: end of period (national currency per US dollar),Kwanza (AOA),,308.6070,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
24,Angola,1985,Exchange rates: period average (national currency per US dollar),Kwanza (AOA),,0.0000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
24,Angola,1995,Exchange rates: period average (national currency per US dollar),Kwanza (AOA),,0.0028,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
24,Angola,2005,Exchange rates: period average (national currency per US dollar),Kwanza (AOA),,87.1591,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
24,Angola,2010,Exchange rates: period average (national currency per US dollar),Kwanza (AOA),,91.9057,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
24,Angola,2015,Exchange rates: period average (national currency per US dollar),Kwanza (AOA),,120.0607,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
24,Angola,2016,Exchange rates: period average (national currency per US dollar),Kwanza (AOA),,163.6564,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
24,Angola,2017,Exchange rates: period average (national currency per US dollar),Kwanza (AOA),,165.9160,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
