T22,"Total imports, exports and balance of trade",,,,,,,
Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
17,Middle Africa,2010,Imports CIF (millions of US dollars),,,43623.0574,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
17,Middle Africa,2015,Imports CIF (millions of US dollars),,,45015.1817,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
17,Middle Africa,2016,Imports CIF (millions of US dollars),,,37018.9503,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
17,Middle Africa,2017,Imports CIF (millions of US dollars),,,38034.5958,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
17,Middle Africa,2018,Imports CIF (millions of US dollars),,,38130.7961,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
17,Middle Africa,1995,Exports FOB (millions of US dollars),,,10953.6908,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
17,Middle Africa,2005,Exports FOB (millions of US dollars),,,48957.7998,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
17,Middle Africa,2010,Exports FOB (millions of US dollars),,,90717.3825,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
17,Middle Africa,2015,Exports FOB (millions of US dollars),,,64085.7325,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
17,Middle Africa,2016,Exports FOB (millions of US dollars),,,51678.3411,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
17,Middle Africa,2017,Exports FOB (millions of US dollars),,,57499.8235,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
17,Middle Africa,2018,Exports FOB (millions of US dollars),,,57028.8617,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
17,Middle Africa,1995,Balance imports/exports (millions of US dollars),,,5541.6702,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
17,Middle Africa,2005,Balance imports/exports (millions of US dollars),,,30277.9470,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
17,Middle Africa,2010,Balance imports/exports (millions of US dollars),,,47094.3250,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
