T23,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
32,Argentina,2005,Major trading partner 2 (% of exports),United States,,12.0635,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
32,Argentina,2010,Major trading partner 2 (% of exports),United States,,5.3815,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
32,Argentina,2018,Major trading partner 2 (% of exports),United States,,7.7368,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
32,Argentina,2005,Major trading partner 2 (% of imports),China,,5.3283,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
32,Argentina,2010,Major trading partner 2 (% of imports),China,,13.4675,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
32,Argentina,2018,Major trading partner 2 (% of imports),China,,18.4071,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
32,Argentina,2005,Major trading partner 3 (% of exports),China,,7.8648,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
32,Argentina,2010,Major trading partner 3 (% of exports),China,,8.5059,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
32,Argentina,2018,Major trading partner 3 (% of exports),China,,7.4078,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
32,Argentina,2005,Major trading partner 3 (% of imports),United States,,16.2771,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
32,Argentina,2010,Major trading partner 3 (% of imports),United States,,11.7943,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
32,Argentina,2018,Major trading partner 3 (% of imports),United States,,11.4126,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
51,Armenia,2005,Major trading partner 1 (% of exports),Russian Federation,,12.3635,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
51,Armenia,2010,Major trading partner 1 (% of exports),Russian Federation,,17.5285,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
51,Armenia,2018,Major trading partner 1 (% of exports),Russian Federation,,26.9208,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
51,Armenia,2005,Major trading partner 1 (% of imports),Russian Federation,,14.8129,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
51,Armenia,2010,Major trading partner 1 (% of imports),Russian Federation,,21.9560,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
51,Armenia,2018,Major trading partner 1 (% of imports),Russian Federation,,26.2168,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
51,Armenia,2005,Major trading partner 2 (% of exports),Switzerland,,3.6964,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
51,Armenia,2010,Major trading partner 2 (% of exports),Switzerland,,1.6692,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
51,Armenia,2018,Major trading partner 2 (% of exports),Switzerland,,14.1203,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
51,Armenia,2005,Major trading partner 2 (% of imports),China,,1.5450,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
51,Armenia,2010,Major trading partner 2 (% of imports),China,,10.6320,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
51,Armenia,2018,Major trading partner 2 (% of imports),China,,13.7840,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
51,Armenia,2005,Major trading partner 3 (% of exports),Bulgaria,,0.0876,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
51,Armenia,2010,Major trading partner 3 (% of exports),Bulgaria,,15.4779,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
51,Armenia,2018,Major trading partner 3 (% of exports),Bulgaria,,9.0384,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
51,Armenia,2005,Major trading partner 3 (% of imports),Iran (Islamic Rep.),,5.9680,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
51,Armenia,2010,Major trading partner 3 (% of imports),Iran (Islamic Rep.),,5.7573,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
51,Armenia,2018,Major trading partner 3 (% of imports),Iran (Islamic Rep.),,5.6147,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
533,Aruba,2005,Major trading partner 1 (% of exports),Areas nes,Areas not elsewhere specified.,0.1751,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
533,Aruba,2010,Major trading partner 1 (% of exports),Areas nes,Areas not elsewhere specified.,2.9539,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
533,Aruba,2018,Major trading partner 1 (% of exports),Areas nes,Areas not elsewhere specified.,45.5873,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
533,Aruba,2005,Major trading partner 1 (% of imports),United States,,55.6837,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
533,Aruba,2010,Major trading partner 1 (% of imports),United States,,49.9887,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
533,Aruba,2018,Major trading partner 1 (% of imports),United States,,52.2586,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
533,Aruba,2005,Major trading partner 2 (% of exports),Colombia,,11.9410,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
